Date,ALR_open,ALR_high,ALR_low,ALR_close,ALR_volume,MBK_open,MBK_high,MBK_low,MBK_close,MBK_volume,PEO_open,PEO_high,PEO_low,PEO_close,PEO_volume,PKO_open,PKO_high,PKO_low,PKO_close,PKO_volume,SPL_open,SPL_high,SPL_low,SPL_close,SPL_volume
2020-03-02,22.06,23.08,21.8,22.42,1054344,304.0,307.0,288.2,296.8,40944,89.9,92.72,87.16,89.26,756361,32.33,32.55,31.32,32.35,3913456,260.4,261.8,252.0,260.0,108224
2020-03-03,22.96,23.8,22.52,23.5,561884,305.0,335.4,298.2,330.4,25817,90.2,95.28,90.02,94.78,998119,32.65,33.78,32.55,33.1,4036412,260.0,279.0,258.0,272.2,112138
2020-03-04,23.38,23.46,22.9,23.02,588945,331.0,331.0,314.0,317.2,29914,94.4,95.88,93.4,94.14,527940,33.0,33.36,32.51,32.56,2754026,268.0,276.4,268.0,274.0,53365
2020-03-05,23.5,23.52,22.02,22.28,831914,325.0,325.0,306.0,309.2,13766,95.32,95.74,92.66,92.9,515614,32.75,33.06,31.64,31.64,2759371,270.0,276.4,265.2,266.8,58814
2020-03-06,21.94,21.96,20.46,20.58,963071,300.6,305.0,295.0,301.8,21850,91.9,92.4,88.82,89.68,940230,31.33,31.71,30.37,30.62,2964149,261.4,263.4,248.0,252.2,74158
2020-03-09,18.74,19.8,17.92,18.15,960863,296.6,296.6,263.6,263.6,28741,85.0,86.0,80.54,82.3,833133,29.0,29.46,27.45,27.72,3523517,240.6,242.0,222.8,228.0,121099
2020-03-10,18.52,19.1,18.2,18.49,822098,263.6,268.8,241.4,243.8,30397,83.0,83.98,80.0,80.26,757085,28.1,28.76,27.32,27.92,3821020,228.0,232.4,217.6,221.4,81951
2020-03-11,18.8,18.8,16.44,16.65,928231,255.6,255.6,225.0,229.6,41848,81.44,81.86,75.02,75.24,1026635,28.11,28.31,26.31,26.63,2961506,221.4,225.0,205.8,208.6,78601
2020-03-12,15.85,15.9,13.34,13.34,994367,213.0,217.6,192.1,192.1,38145,70.0,70.24,60.5,60.5,1041792,25.5,25.5,23.18,23.18,3752953,193.3,194.9,172.1,172.1,101018
2020-03-13,13.45,15.06,13.0,13.91,1316262,208.0,212.8,186.5,208.4,78690,62.5,67.32,61.0,63.68,2007479,23.99,25.37,23.1,23.5,6764837,177.0,191.3,164.7,186.5,190412
2020-03-16,13.9,13.9,12.37,13.15,965147,210.0,218.8,188.0,198.2,56682,61.0,61.0,54.9,55.76,1552789,22.94,23.11,20.3,21.5,6971289,180.0,180.0,157.1,168.2,187423
2020-03-17,13.18,14.16,12.73,14.04,839399,208.4,241.6,200.0,233.4,52285,57.78,60.38,52.8,55.94,2193015,22.24,22.87,21.01,22.1,7318962,170.0,205.6,170.0,195.6,163734
2020-03-18,13.7,15.07,13.51,14.0,1040611,238.0,242.4,220.2,242.0,29780,54.0,56.76,52.32,52.74,1574306,21.91,22.21,20.75,21.0,5416181,193.0,194.3,176.2,190.6,89065
2020-03-19,14.36,14.98,14.21,14.58,704733,244.8,261.2,230.2,241.4,45853,52.6,54.54,51.86,53.0,1672233,21.28,22.07,20.86,21.89,6072444,187.4,210.0,184.2,210.0,87756
2020-03-20,15.09,15.63,14.02,14.47,1603968,255.0,259.0,242.0,248.4,78195,55.0,58.2,54.6,56.8,2146807,23.0,24.01,22.58,23.06,7642094,219.4,241.2,199.9,204.0,275885
2020-03-23,13.99,13.99,13.1,13.38,810768,248.4,248.4,224.0,224.0,42703,55.0,55.26,53.0,53.1,919061,22.5,22.76,21.4,21.45,3359361,190.0,194.4,178.6,179.4,147013
2020-03-24,14.1,14.2,12.9,13.15,1284363,237.0,237.0,216.8,225.0,53732,55.64,56.18,53.86,54.5,971677,22.5,22.8,21.55,22.31,3066740,190.0,190.9,175.0,175.2,148492
2020-03-25,13.64,13.75,12.7,13.0,1015259,233.0,233.2,212.0,219.4,31776,57.0,57.9,53.3,55.2,1144492,23.41,23.45,21.61,21.84,3507067,186.0,186.0,162.9,175.9,187923
2020-03-26,12.8,13.38,12.8,13.24,789274,219.4,230.2,219.0,225.6,18338,54.88,57.5,52.3,57.0,875323,21.5,23.49,20.89,23.46,4434379,172.4,177.7,168.5,177.7,107243
2020-03-27,13.3,13.45,12.76,13.0,866516,231.0,231.0,216.6,222.0,40281,57.46,58.2,54.6,55.32,781913,23.46,23.99,22.51,22.75,3166546,178.0,179.0,171.0,173.9,100665
2020-03-30,13.03,13.1,12.62,12.91,411087,225.0,226.6,216.0,224.4,24145,56.0,56.16,53.88,56.0,505762,22.95,22.95,22.08,22.51,2130445,172.7,174.1,169.0,174.1,57558
2020-03-31,13.06,13.24,12.62,12.88,854838,221.0,229.4,220.0,221.8,27771,56.3,57.26,55.0,56.14,887961,22.8,23.39,22.52,22.62,3455596,175.0,178.3,171.2,173.5,111564
2020-04-01,12.78,12.86,12.275,12.37,1024242,218.6,220.4,212.2,212.4,43986,55.2,55.8,54.02,54.02,866353,22.4,22.53,21.92,22.2,2957324,170.1,172.3,165.0,165.5,117808
2020-04-02,12.585,12.585,11.8,11.86,1940411,214.2,214.2,206.2,213.6,36009,54.76,54.8,53.04,54.02,1080461,22.3,22.44,21.22,21.83,3870599,165.0,165.4,153.5,157.9,201633
2020-04-03,12.0,12.0,11.4,11.75,986099,209.4,217.6,203.4,217.6,36541,53.42,53.64,52.52,53.4,724173,21.75,21.85,21.15,21.85,3727048,154.7,156.9,148.2,152.5,221640
2020-04-06,12.4,12.84,12.18,12.74,1343638,222.0,228.8,217.6,228.0,31769,54.8,57.3,54.52,57.02,995270,22.45,22.8,22.14,22.68,3490143,157.5,173.8,157.5,172.9,133718
2020-04-07,13.3,14.99,13.12,14.77,2683015,230.0,239.8,228.4,229.6,35572,58.0,62.8,57.8,61.32,1906741,23.13,24.46,23.05,23.41,7107615,173.8,181.3,173.8,176.6,149285
2020-04-08,14.78,14.98,12.72,13.995,4043879,231.0,234.6,218.0,224.4,32026,61.04,62.38,54.92,55.5,2718322,23.8,23.94,21.75,21.91,7582799,177.0,178.8,164.0,165.5,181933
2020-04-09,14.2,14.87,13.94,14.8,1231774,224.0,230.0,223.4,229.0,47953,56.9,57.2,54.7,55.76,2924387,22.5,22.68,21.95,22.68,4489088,165.8,174.0,163.2,167.8,145630
2020-04-14,15.4,16.94,15.2,16.92,2079878,233.6,236.2,232.0,235.0,37159,57.0,57.1,55.5,56.58,3736341,23.2,23.49,22.93,23.2,3488445,174.4,177.0,168.8,172.5,168827
2020-04-15,16.93,17.165,15.38,16.45,2399764,242.4,242.6,223.0,223.0,30179,57.5,57.58,54.02,54.3,1516227,23.31,23.36,22.1,22.14,4738886,174.0,174.0,160.0,160.7,196997
2020-04-16,16.9,16.9,15.61,15.89,1352161,227.4,229.0,218.2,222.4,45835,55.0,55.06,53.28,53.78,1231148,22.6,22.69,22.0,22.04,4751531,162.5,162.9,158.2,159.0,169289
2020-04-17,15.9,16.16,15.5,15.6,1474539,228.0,228.0,217.0,217.8,20256,54.5,54.96,53.8,54.54,1039523,22.5,22.62,21.91,21.93,5104371,162.0,162.8,156.0,157.0,129072
2020-04-20,15.74,15.775,14.67,15.03,1269271,220.0,222.0,209.0,217.6,38211,54.9,54.94,53.5,54.94,919738,22.09,22.13,21.54,22.13,2366440,157.0,160.3,154.1,158.7,81640
2020-04-21,14.68,14.83,13.74,13.85,1368482,218.0,218.0,208.0,208.0,21081,54.7,54.7,52.5,52.5,991915,21.91,21.94,21.07,21.07,3676982,156.5,158.1,151.9,152.0,89688
2020-04-22,14.0,14.48,13.25,14.38,1139400,210.2,220.8,208.2,216.2,22125,52.5,53.0,50.7,51.3,2302049,21.25,21.58,20.95,21.22,3824706,154.8,154.8,150.5,153.0,104095
2020-04-23,14.57,15.17,14.44,15.17,1140811,219.0,220.6,216.2,219.0,19397,51.72,51.72,49.2,50.3,2918410,21.4,21.46,20.7,21.26,3902064,154.3,157.0,148.3,150.0,150771
2020-04-24,14.875,14.995,14.22,14.22,1194776,219.8,219.8,212.0,212.0,11822,49.8,50.14,48.1,49.31,2471717,21.18,21.23,20.82,20.82,2813109,149.0,150.1,145.3,145.3,124763
2020-04-27,14.625,14.8,13.655,14.325,810162,216.2,217.0,202.2,202.4,23386,50.1,50.16,47.62,48.0,3929485,20.98,21.02,20.03,20.1,5477747,148.2,152.0,143.5,145.2,170789
2020-04-28,14.0,14.7,13.81,14.14,571103,202.2,209.0,197.1,201.4,48096,47.97,49.81,47.1,48.92,2590260,19.8,20.74,19.655,20.24,7425700,144.0,152.9,144.0,150.4,196374
2020-04-29,14.35,14.99,14.095,14.99,932495,201.4,216.4,201.4,214.4,35501,49.01,52.0,48.94,51.82,3044384,20.56,21.97,20.45,21.94,5337959,152.9,167.7,148.3,166.0,162042
2020-04-30,15.01,15.8,14.6,15.07,1158707,217.0,221.0,214.0,219.0,51921,52.4,53.26,51.44,51.98,2549729,22.4,22.85,21.71,22.01,6103164,166.0,169.9,159.6,163.0,155010
2020-05-04,14.71,14.895,14.42,14.5,587929,220.0,220.0,204.4,204.4,27037,51.0,51.0,49.62,49.95,1004159,21.69,21.76,21.37,21.58,3300317,159.7,159.7,151.0,151.3,119249
2020-05-05,14.88,14.9,13.9,14.05,938202,207.4,208.0,198.0,198.0,31713,50.5,50.84,49.64,50.0,1195310,21.82,21.86,20.91,21.01,2516489,152.9,154.2,148.1,149.5,71597
2020-05-06,14.68,14.7,13.7,13.86,862154,200.0,200.2,190.5,190.5,44962,50.48,50.58,49.06,49.25,1799721,21.2,21.2,20.6,20.6,2514533,150.1,151.9,147.2,148.0,84240
2020-05-07,14.05,14.25,13.5,14.01,554674,196.0,197.5,188.2,188.2,20337,49.46,50.4,48.67,49.8,1016169,20.78,21.32,20.45,21.0,2256074,149.4,150.9,145.6,148.0,77551
2020-05-08,14.03,14.36,13.835,13.94,361971,192.0,192.5,188.3,188.3,14338,50.7,50.9,49.8,49.91,407054,21.45,21.45,20.87,21.06,1687806,150.8,151.8,148.6,151.0,45075
2020-05-11,13.995,14.0,13.6,13.7,444177,191.0,191.5,181.0,184.5,25796,50.32,50.42,48.55,48.55,731552,21.34,21.34,20.65,20.65,1421650,153.0,153.0,145.6,145.7,48755
2020-05-12,13.67,14.05,13.35,14.03,671842,185.0,187.4,181.0,184.6,31154,49.86,51.28,48.26,51.28,2031328,20.65,21.53,20.36,21.42,3892973,146.7,152.8,141.1,150.8,179937
2020-05-13,13.84,14.235,13.7,13.885,429781,184.6,194.8,184.6,190.3,33725,50.7,52.8,50.44,50.9,2177259,21.23,22.09,21.07,21.3,2731941,149.0,157.0,147.1,155.5,112122
2020-05-14,13.68,13.8,13.01,13.225,1119707,189.5,190.6,180.0,183.6,21083,50.5,50.5,48.7,49.65,1305422,21.03,21.13,20.42,20.75,3258953,152.4,158.8,148.4,151.4,148451
2020-05-15,13.355,13.55,13.02,13.2,442214,186.1,188.6,182.3,182.3,24955,50.0,50.6,49.7,50.02,1152284,20.84,21.17,20.6,20.67,1825448,152.8,153.5,146.0,148.2,86035
2020-05-18,13.48,13.63,13.11,13.59,422472,183.6,187.9,181.5,185.9,24307,50.54,51.76,49.9,51.7,1513130,21.0,21.55,20.73,21.55,2885325,148.6,154.0,145.8,154.0,144098
2020-05-19,13.77,13.78,13.445,13.65,333857,189.6,189.6,183.4,186.8,18452,52.3,52.44,51.2,51.66,1790812,21.9,21.9,21.31,21.6,2316463,157.0,157.0,149.9,152.2,125427
2020-05-20,13.5,13.74,13.4,13.685,357421,187.0,189.0,184.3,187.2,18841,51.48,51.78,50.82,51.44,1391652,21.56,21.85,21.41,21.64,1720402,151.8,155.5,150.2,154.7,87964
2020-05-21,13.5,14.06,13.46,13.9,552733,187.2,188.0,185.0,185.0,14379,51.4,52.0,51.02,51.8,1212284,21.62,21.62,21.2,21.2,2866540,152.0,154.7,152.0,152.9,53546
2020-05-22,13.65,13.78,13.43,13.435,665697,185.0,187.2,181.8,183.9,22785,51.1,51.1,50.02,50.66,1478617,21.1,21.34,20.81,21.15,1445802,152.6,153.1,148.3,149.1,71719
2020-05-25,13.595,13.63,13.2,13.395,535905,186.2,187.6,183.2,184.0,21075,51.22,51.5,50.62,51.5,247616,21.37,21.37,21.05,21.25,702122,151.3,152.8,149.0,152.1,34078
2020-05-26,13.51,14.65,13.5,14.6,1474589,186.0,187.1,185.5,186.0,123863,51.9,53.46,51.7,53.46,2678740,21.59,22.6,21.41,22.54,4154607,154.0,166.0,152.3,166.0,183786
2020-05-27,14.85,16.15,14.79,14.965,2126218,188.6,214.2,187.4,207.8,213310,53.48,56.28,53.0,55.42,5454690,22.65,23.92,22.43,23.15,6772196,167.0,178.2,163.8,170.8,264025
2020-05-28,15.31,16.05,14.1,14.51,3495381,213.0,226.4,204.4,212.0,144937,56.0,57.72,52.7,53.4,5818186,23.59,24.8,21.4,22.3,13862221,172.9,181.7,160.0,169.1,441258
2020-05-29,14.38,14.385,13.98,14.315,1526457,210.0,215.4,201.8,215.4,138660,52.52,52.94,51.1,52.56,5824156,22.1,22.49,21.53,22.3,11447299,165.0,165.2,161.2,162.8,356754
2020-06-01,14.6,15.015,14.31,14.765,955247,218.0,224.4,210.4,213.6,41165,53.34,53.96,52.3,53.02,1282197,22.63,22.95,22.21,22.45,2951846,166.0,170.0,161.6,165.0,84425
2020-06-02,14.8,15.35,14.695,15.19,1305333,215.0,216.8,211.2,215.6,29882,53.28,53.32,51.86,52.4,1981070,22.56,22.86,21.92,22.06,5924901,166.5,167.1,162.5,163.6,167649
2020-06-03,15.31,15.92,15.255,15.7,963841,218.0,223.8,216.8,221.8,46418,52.8,54.48,52.3,54.48,2392076,22.22,22.78,22.06,22.55,7038663,166.8,171.5,163.6,169.5,136168
2020-06-04,15.78,17.17,15.4,16.95,1840206,223.0,226.4,216.4,226.2,59775,54.5,55.08,53.62,55.0,2148465,22.56,22.75,22.26,22.66,7024173,170.0,177.7,166.2,177.6,181805
2020-06-05,17.4,18.4,17.1,17.815,3291825,227.0,248.0,227.0,247.6,85919,55.5,57.48,55.16,57.3,2611298,22.9,23.85,22.9,23.57,8445618,179.0,185.8,179.0,184.8,197174
2020-06-08,18.35,18.6,17.35,18.08,2119649,251.6,267.8,250.0,257.6,115155,57.48,60.3,57.1,60.0,2841645,23.67,24.64,23.61,24.48,8109271,184.8,194.4,182.7,191.9,184298
2020-06-09,18.07,18.3,17.4,17.73,1065500,262.4,267.4,238.0,254.8,81032,60.8,61.64,57.56,58.14,2785996,24.85,25.12,23.95,24.24,6732787,195.0,196.4,184.5,187.0,123914
2020-06-10,17.9,18.23,17.2,17.715,814715,252.0,257.0,246.0,251.4,40492,58.2,58.3,56.12,56.8,1190290,24.24,24.29,23.15,23.42,5131559,187.0,187.3,180.5,182.0,123193
2020-06-12,16.7,18.78,16.23,18.49,3225439,233.0,247.8,225.0,240.0,52122,54.0,55.58,53.3,54.06,2994005,22.5,23.01,22.32,22.57,7147010,172.0,178.0,169.1,173.7,131028
2020-06-15,17.97,18.08,17.335,17.45,1324565,238.2,239.0,231.2,237.2,39732,53.5,53.5,52.14,52.54,1673838,22.2,22.22,21.63,21.76,7089425,169.0,174.7,168.0,173.5,132776
2020-06-16,18.09,18.44,18.0,18.05,1024009,246.0,249.2,240.0,244.2,38902,54.2,56.8,53.92,56.1,1787600,22.3,23.4,22.16,23.23,6170090,179.0,183.3,176.0,179.8,89331
2020-06-17,18.1,18.28,17.83,17.98,735038,244.2,247.6,240.8,242.2,29940,56.3,56.78,54.6,55.1,1098285,23.61,23.61,22.61,22.7,3823817,180.2,183.3,178.5,182.6,116530
2020-06-18,17.73,17.975,17.5,17.6,735016,244.6,246.8,236.6,244.8,26854,54.86,55.72,54.28,55.22,914308,22.6,23.27,22.45,23.09,5044107,183.2,183.2,175.8,177.1,89551
2020-06-19,17.9,17.95,17.615,17.725,634917,245.2,246.8,240.8,242.4,58757,55.48,55.5,54.52,54.94,1413110,23.2,23.29,22.82,23.0,5469588,179.0,182.2,175.5,181.3,376688
2020-06-22,17.7,17.75,17.28,17.38,417756,244.6,244.6,235.6,236.4,23641,54.64,54.7,53.62,53.84,848218,22.96,22.98,22.46,22.5,3525277,181.0,185.6,176.0,182.9,111318
2020-06-23,17.5,17.905,17.31,17.4,995431,242.0,245.2,236.6,244.6,27446,54.4,56.7,54.16,56.4,974809,22.83,23.79,22.62,23.6,3925870,185.7,190.4,183.7,186.8,93974
2020-06-24,17.535,17.6,16.72,16.89,855850,245.0,245.0,237.6,241.2,14326,56.44,56.7,54.6,54.6,1026185,23.56,23.76,22.8,22.81,2950663,186.8,188.9,180.4,180.4,50492
2020-06-25,16.8,16.98,16.41,16.85,585353,241.0,243.6,236.4,240.8,23871,54.3,54.36,53.12,54.2,1766142,22.64,22.94,22.25,22.82,3166515,179.0,186.0,174.8,184.0,46773
2020-06-26,16.92,16.98,16.4,16.4,668236,241.6,244.4,237.0,237.6,20064,54.68,54.68,52.82,52.82,600583,22.91,23.1,22.37,22.37,1639435,182.0,183.8,176.6,178.0,59409
2020-06-29,16.31,16.49,15.585,16.28,1133543,236.0,241.2,233.4,238.4,25211,52.8,53.44,51.72,53.26,666172,22.37,22.77,22.0,22.7,1834732,177.6,183.4,172.2,180.1,52281
2020-06-30,16.59,16.59,16.1,16.15,532935,239.0,239.2,229.0,230.0,32873,53.34,53.94,52.26,53.84,1136512,22.72,22.92,22.32,22.92,3117907,180.0,181.0,173.2,175.4,52971
